SCHEDULE_NUMBER,CERTIFICATE_NUMBER,ISSUE_DATE,SUBTAX,REDEMPTION_DATE,TAX_YEAR,PRINCIPAL,INTEREST,PREMIUMBIDFEE,TREASURERDEEDFEE
1301977,72814,08/19/08,Y,05/04/09,2007,519.64,64.96,0,0
1511793,72815,11/14/07,N,12/31/09,2006,1982.73,644.39,0,0
1511793,72815,08/19/08,Y,12/31/09,2007,2099.2,446.08,0,0
1511793,72815,08/05/09,Y,12/31/09,2008,2093.64,130.85,0,0
1596918,72816,11/14/07,N,02/04/08,2006,1286.99,64.35,0,0
1619643,72817,11/14/07,N,03/15/11,2006,2066.24,1058.95,0,0
1619643,72817,08/04/08,Y,03/15/11,2007,2810.49,1124.2,0,0
1619643,72817,08/04/09,Y,03/15/11,2008,3224.46,806.12,0,0
1619643,72817,08/13/10,Y,03/15/11,2009,4887.81,488.78,0,0
1623156,72818,11/14/07,N,04/12/11,2006,6858.69,3600.81,475,0
1623156,72818,08/01/08,Y,04/12/11,2007,8025.36,3310.46,0,0
1623156,72818,08/24/09,Y,04/12/11,2008,4756.6,1248.61,0,0
1623156,72818,08/27/10,Y,04/12/11,2009,8801.32,990.15,0,0
342157,72819,11/14/07,N,12/17/07,2006,1408.96,35.22,0,0
753343,72820,11/14/07,N,04/08/08,2006,23.67,1.78,0,0
662542,72821,11/14/07,N,01/14/08,2006,943.85,35.39,0,0
1076957,72822,11/14/07,N,01/29/08,2006,366.31,13.74,0,0
297755,72823,11/14/07,N,11/20/09,2006,2341.31,731.66,0,0
297755,72823,10/27/08,Y,11/20/09,2007,2344.95,410.37,0,0
297755,72823,08/14/09,Y,11/20/09,2008,2299.71,114.99,0,0
1615718,72824,11/14/07,N,09/29/09,2006,2220.84,638.49,0,0
1615718,72824,08/25/08,Y,09/29/09,2007,2202.33,385.41,0,0
1615718,72824,08/31/09,Y,09/29/09,2008,2189.18,54.73,0,0
559300,72825,11/14/07,N,07/03/08,2006,799.44,89.94,0,0
559393,72826,11/14/07,N,07/03/08,2006,432.72,48.68,0,0
1620458,72827,11/14/07,N,07/03/08,2006,798.74,89.86,0,0
1629195,72828,11/14/07,N,02/22/08,2006,761.69,38.08,0,0
1632463,72829,11/14/07,N,08/27/09,2006,2024.54,556.75,0,0
1632463,72829,08/22/08,Y,08/27/09,2007,2107.04,342.39,0,0
1632463,72829,08/06/09,Y,08/27/09,2008,2124.28,26.55,0,0
1632297,72830,11/14/07,N,06/04/09,2006,1698.57,424.64,0,0
1632297,72830,08/14/08,Y,06/04/09,2007,1276.68,175.54,0,0
1627678,72831,11/14/07,N,09/20/10,2006,1360.31,595.14,475,0
1627678,72831,08/01/08,Y,09/20/10,2007,1154.51,375.22,0,0
1627678,72831,08/24/09,Y,09/20/10,2008,1153.12,201.8,0,0
1627678,72831,08/27/10,Y,09/20/10,2009,768.16,19.2,0,0
