SCHEDULE_NUMBER,CERTIFICATE_NUMBER,ISSUE_DATE,SUBTAX,REDEMPTION_DATE,TAX_YEAR,PRINCIPAL,INTEREST,PREMIUMBIDFEE,TREASURERDEEDFEE
1615514,4002,11/19/03,N,05/20/04,2002,2104.88,135.06,0,0
487023,4003,11/14/01,Y,09/08/09,2000,53.66,1.25,0,0
487023,4003,08/07/02,Y,09/08/09,2001,45.38,1.06,0,0
487023,4003,08/12/03,Y,09/08/09,2002,42.25,0.99,0,0
487023,4003,08/05/04,Y,09/08/09,2003,38.66,0.9,0,0
487023,4003,11/16/05,N,09/08/09,2004,32.68,17.92,0,0
487023,4003,08/09/06,Y,09/08/09,2005,22.64,10.04,0,0
487023,4003,08/14/07,Y,09/08/09,2006,23.29,7.06,0,0
487023,4003,08/01/08,Y,09/08/09,2007,22.9,3.74,0,0
487023,4003,08/05/09,Y,09/08/09,2008,23.31,0.54,0,350
1178440,18714,10/02/01,Y,03/22/06,2000,25.15,16.98,0,0
1178440,18714,08/30/02,Y,03/22/06,2001,53.74,29.56,0,0
1178440,18714,08/06/03,Y,03/22/06,2002,53.22,21.29,0,0
1178440,18714,08/03/04,Y,03/22/06,2003,52,13,0,0
1178440,18714,08/31/05,Y,03/22/06,2004,49.43,4.94,0,0
285102,45681,08/01/01,Y,08/07/02,2000,424.62,73.6,0,0
1178431,47162,10/31/01,Y,05/04/05,2000,89.78,7.18,0,0
1178431,47162,08/30/02,Y,05/04/05,2001,65.86,5.27,0,0
1178431,47162,10/08/03,Y,05/04/05,2002,69.87,5.59,0,0
1178431,47162,08/30/04,Y,05/04/05,2003,50.47,4.04,0,0
1106287,53621,11/14/01,Y,09/24/04,2000,775.19,46.51,0,0
1106287,53621,11/20/02,Y,09/24/04,2001,1042.94,62.58,0,0
1106287,53621,08/20/03,Y,09/24/04,2002,937.53,56.25,0,0
1106287,53621,08/30/04,Y,09/24/04,2003,991.75,19.84,0,350
106046,53960,08/16/01,Y,05/10/05,2000,6450.27,489.15,0,0
106046,53960,08/09/02,Y,05/10/05,2001,6052.4,458.97,0,0
106046,53960,08/12/03,Y,05/10/05,2002,5377.44,407.79,0,0
106046,53960,08/24/04,Y,05/10/05,2003,4883.52,370.33,0,350
246689,54062,08/22/01,Y,01/25/02,2000,255.24,5.53,0,0
246697,54063,08/20/01,Y,05/22/02,2000,255.24,16.59,0,0
504904,55438,08/03/01,Y,09/05/01,2000,239.69,5.59,0,0
593249,55500,08/14/01,Y,10/30/01,2000,1070.85,37.48,0,0
246727,56526,08/27/01,Y,01/22/04,2000,240.23,84.08,0,0
246727,56526,08/30/02,Y,01/22/04,2001,312.69,65.66,0,0
246727,56526,08/29/03,Y,01/22/04,2002,312.69,21.89,0,0
246760,56527,08/27/01,Y,01/22/04,2000,32.63,11.42,0,0
246760,56527,08/30/02,Y,01/22/04,2001,41.38,8.69,0,0
246760,56527,08/29/03,Y,01/22/04,2002,41.38,2.9,0,0
246778,56528,08/27/01,Y,01/22/04,2000,32.63,11.42,0,0
246778,56528,08/30/02,Y,01/22/04,2001,41.38,8.69,0,0
246778,56528,08/29/03,Y,01/22/04,2002,41.38,2.9,0,0
524719,56758,08/08/01,Y,06/10/05,2000,1398.11,766.63,0,0
524719,56758,08/06/02,Y,06/10/05,2001,1437.65,587.04,0,0
524719,56758,08/13/03,Y,06/10/05,2002,1436.35,385.42,0,0
524719,56758,08/26/04,Y,06/10/05,2003,1325.87,170.15,0,0
525081,56759,08/21/01,Y,12/24/01,2000,938.37,54.74,0,0
224154,57465,08/14/01,Y,01/30/02,2000,842.31,58.96,0,0
535010,57730,08/14/01,Y,03/04/04,2000,750.46,17.51,0,0
535010,57730,08/08/02,Y,03/04/04,2001,918.72,21.44,0,0
535010,57730,08/20/03,Y,03/04/04,2002,803.67,18.75,0,0
1178326,57947,08/31/01,Y,01/16/03,2000,131.61,27.64,0,0
1178326,57947,09/03/02,Y,01/16/03,2001,185.54,10.82,0,350
12912,58318,10/30/01,Y,01/18/02,2000,960.91,44.84,0,0
15652,58320,09/25/01,Y,12/14/01,2000,757.94,35.37,0,0
29319,58330,08/10/01,Y,02/01/02,2000,772.07,63.05,0,0
38547,58339,08/22/01,Y,04/29/03,2000,3786.59,927.71,0,0
38547,58339,08/06/02,Y,04/29/03,2001,3582.46,376.16,0,0
71935,58367,08/24/01,Y,01/29/02,2000,1581.69,110.72,0,0
82694,58374,08/06/01,Y,12/12/01,2000,1076.48,62.79,0,350
83496,58375,08/06/01,Y,01/31/02,2000,1235.64,86.49,0,0
152218,58418,08/24/01,Y,05/31/02,2000,1515.84,176.85,0,0
208019,58452,10/15/01,Y,04/23/02,2000,1363.6,111.36,0,0
214795,58458,08/02/01,Y,09/20/01,2000,219.39,5.12,0,0
252999,58508,08/06/01,Y,01/22/02,2000,19.85,1.39,0,0
286915,58554,08/29/01,Y,02/28/02,2000,1019.04,83.22,0,0
290840,58565,08/24/01,Y,01/30/03,2000,1119.76,235.15,0,0
290840,58565,08/12/02,Y,01/30/03,2001,1209.75,84.68,0,0
300969,58575,08/31/01,Y,01/31/02,2000,83.45,5.84,0,0
329045,58597,08/14/01,Y,02/06/03,2000,57.49,12.74,0,0
329045,58597,08/26/02,Y,02/06/03,2001,56.46,4.61,0,0
349585,58611,09/20/01,Y,10/01/01,2000,952.48,22.22,0,0
358614,58615,08/30/01,Y,03/06/02,2000,475.68,44.4,0,0
465917,58677,08/22/01,Y,07/15/02,2000,391.73,54.84,0,0
600393,58792,08/07/01,Y,06/04/02,2000,129.86,16.67,0,0
600431,58793,08/07/01,Y,04/09/02,2000,129.86,13.64,0,0
600440,58794,08/07/01,Y,04/23/02,2000,129.86,13.64,0,0
702862,58844,08/23/01,Y,01/17/02,2000,1084.88,75.94,0,0
728764,58860,08/15/01,Y,01/24/03,2000,1169.02,245.49,0,0
728764,58860,08/01/02,Y,01/24/03,2001,1177.9,82.45,0,350
751804,58867,08/02/01,Y,12/04/01,2000,259.91,15.16,0,0
788406,58886,08/01/01,Y,03/14/02,2000,1556.4,145.26,0,0
1085395,58941,08/02/01,Y,01/28/02,2000,218.5,15.3,0,0
1131001,58962,08/27/01,Y,08/10/10,2000,321.09,408.32,0,0
1131010,58963,08/27/01,Y,08/10/10,2000,321.09,408.32,0,0
1131036,58964,08/27/01,Y,04/22/11,2000,321.09,438.29,0,0
1178431,58992,10/31/01,Y,11/16/04,2000,62.2,27.58,0,0
1178431,58992,08/30/02,Y,11/16/04,2001,49.64,16.22,0,0
1178431,58992,10/08/03,Y,11/16/04,2002,60.06,9.81,0,0
1178431,58992,08/30/04,Y,11/16/04,2003,48.22,2.25,0,350
1200038,58996,08/27/01,Y,07/30/02,2000,19.61,2.75,0,0
1216988,59001,11/06/98,N,,1997,306.86,,0,344
1216988,59001,08/01/99,Y,,1998,290.31,,0,0
1216988,59001,09/20/00,Y,,1999,274.22,,0,0
1216988,59001,08/21/01,Y,,2000,297.71,,0,0
1216988,59001,08/28/02,Y,,2001,375.19,,0,0
1216988,59001,08/28/03,Y,,2002,374.64,,0,0
1216988,59001,09/21/04,Y,,2003,381.19,,0,0
1216988,59001,09/23/05,Y,,2004,389.42,,0,0
1216988,59001,10/24/06,Y,,2005,395.69,,0,0
1216988,59001,10/16/07,Y,,2006,395.18,,0,0
1216988,59001,09/08/08,Y,,2007,369.73,,0,0
1216988,59001,08/20/09,Y,,2008,365.37,,0,0
1216988,59001,10/18/10,Y,,2009,371.49,,0,0
1216988,59001,09/28/11,Y,,2010,369.75,,0,0
1216988,59001,09/27/12,Y,,2011,334.77,,0,0
1216988,59001,11/14/13,Y,,2012,358.7,,0,0
1216988,59001,08/29/14,Y,,2013,333.33,,0,344
1220713,59006,09/20/01,Y,12/24/01,2000,315.28,14.71,0,350
1250183,59029,08/30/01,Y,08/29/02,2000,892.78,135.4,0,0
1301993,59046,08/29/01,Y,07/07/03,2000,72.17,20.21,0,0
1301993,59046,08/07/02,Y,07/07/03,2001,70.89,9.92,0,0
1325949,59059,08/06/01,Y,04/07/03,2000,334.47,81.95,0,0
1325949,59059,08/08/02,Y,04/07/03,2001,456.03,47.88,0,350
1397338,59107,08/07/01,Y,12/24/01,2000,27.8,1.62,0,0
10898,59282,08/01/01,Y,09/25/03,2000,278.88,84.59,0,0
10898,59282,08/01/02,Y,09/25/03,2001,273.7,44.7,0,0
10898,59282,08/06/03,Y,09/25/03,2002,273.59,6.38,0,350
11053,59283,08/13/01,Y,11/14/02,2000,1004.3,187.47,0,0
11053,59283,09/03/02,Y,11/14/02,2001,1081.66,37.86,0,0
11258,59284,08/17/01,Y,10/30/01,2000,866.44,30.33,0,0
32018,59298,08/27/01,Y,12/31/01,2000,1342.96,78.34,0,0
41882,59303,08/01/01,Y,10/08/02,2000,766.51,134.14,0,0
41882,59303,08/09/02,Y,10/08/02,2001,1070.78,37.48,0,0
41998,59304,08/29/01,Y,08/29/02,2000,551.85,83.7,0,0
41998,59304,08/05/02,Y,08/29/02,2001,815.68,9.52,0,0
138568,59347,08/27/01,Y,11/27/01,2000,1192.15,55.63,0,0
151629,59358,08/06/01,Y,08/16/02,2000,563.52,85.47,0,0
151700,59359,08/27/01,Y,06/17/02,2000,1056.7,135.61,0,0
152072,59360,09/14/01,Y,03/21/02,2000,842.01,68.76,0,0
155608,59368,08/07/01,Y,10/10/01,2000,1124.59,39.36,0,0
155616,59369,08/27/01,Y,10/10/01,2000,572.21,20.03,0,0
162736,59379,08/27/01,Y,08/16/02,2000,425.5,64.53,0,0
168165,59384,08/13/01,Y,07/11/02,2000,1305.96,182.83,0,0
173681,59391,08/01/01,Y,04/26/02,2000,1242.11,130.42,0,0
195243,59398,08/31/01,Y,12/23/02,2000,4680.18,928.24,0,0
195243,59398,08/30/02,Y,12/23/02,2001,5763.95,336.23,0,350
210897,59407,08/07/01,Y,08/31/04,2000,193.62,83.58,0,0
210897,59407,08/29/02,Y,08/31/04,2001,178.31,52.01,0,0
210897,59407,08/28/03,Y,08/31/04,2002,178.23,27.03,0,0
237086,59426,08/31/01,Y,01/25/02,2000,1054.28,73.8,0,0
239135,59430,08/15/01,Y,09/24/01,2000,843.23,19.68,0,0
246816,59442,08/09/01,Y,10/31/02,2000,32.63,5.71,0,0
246816,59442,08/06/02,Y,10/31/02,2001,41.38,1.45,0,0
246964,59445,10/22/01,Y,02/07/02,2000,43.16,2.52,0,0
254525,59452,08/01/01,Y,07/16/02,2000,561.7,78.64,0,0
260797,59457,09/19/01,Y,04/30/02,2000,247.51,23.1,0,0
267732,59462,08/23/01,Y,07/29/02,2000,446.21,62.47,0,0
272671,59472,08/07/01,Y,09/30/02,2000,408.64,33.37,0,0
272671,59472,08/07/02,Y,09/30/02,2001,461.08,10.76,0,350
275603,59478,08/01/01,Y,06/25/02,2000,374.16,48.02,0,0
276472,59480,08/31/01,Y,08/25/03,2000,296.32,86.43,0,0
276472,59480,08/05/02,Y,08/25/03,2001,257.51,39.06,0,350
276472,59480,08/07/03,Y,08/25/03,2002,257.38,3,0,0
285722,59487,10/31/01,Y,10/15/02,2000,337.17,51.14,0,0
285722,59487,08/30/02,Y,10/15/02,2001,739.49,25.88,0,350
287814,59490,08/24/01,Y,01/16/03,2000,1595.02,37.22,0,0
287814,59490,10/02/02,Y,01/16/03,2001,1461.27,34.1,0,350
289655,59492,08/30/01,Y,10/08/02,2000,1104.87,193.35,0,0
289655,59492,08/14/02,Y,10/08/02,2001,1352.56,47.34,0,0
289698,59493,10/30/01,Y,08/26/02,2000,31.66,4.06,0,0
298077,59502,08/07/01,Y,10/19/01,2000,1076.88,37.69,0,0
299693,59505,10/11/01,Y,11/20/01,2000,121.91,2.84,0,0
304999,59511,10/09/01,Y,07/01/08,2000,62.07,59.38,0,0
313114,59513,10/30/01,Y,06/16/03,2000,104.62,25.63,0,0
313114,59513,08/20/02,Y,06/16/03,2001,115.6,14.84,0,0
313122,59514,10/30/01,Y,06/16/03,2000,104.62,25.63,0,0
313122,59514,08/20/02,Y,06/16/03,2001,115.6,14.84,0,0
324990,59523,08/20/01,Y,08/09/02,2000,159.53,24.2,0,0
342840,59536,08/21/01,Y,10/25/01,2000,603.19,21.11,0,0
345709,59538,08/29/01,Y,09/10/01,2000,1141.63,26.64,0,0
388700,59560,08/24/01,Y,10/29/01,2000,3830.3,134.06,0,0
402150,59567,08/31/01,Y,12/24/01,2000,860.18,50.18,0,0
451177,59597,08/28/01,Y,12/27/01,2000,52.15,3.04,0,0
477737,59614,08/03/01,Y,11/27/02,2000,1052.48,196.46,0,0
477737,59614,08/30/02,Y,11/27/02,2001,1218.92,56.88,0,0
485250,59623,09/28/01,Y,10/24/01,2000,47.62,1.11,0,0
486540,59625,10/31/01,Y,03/18/05,2000,36.97,18.12,0,0
486540,59625,08/30/02,Y,03/18/05,2001,27.31,10.2,0,0
486540,59625,10/08/03,Y,03/18/05,2002,37.61,7.9,0,0
486540,59625,08/30/04,Y,03/18/05,2003,26.72,2.49,0,350
489271,59628,10/22/01,Y,04/16/03,2000,1391.04,308.35,0,0
489271,59628,10/08/02,Y,04/16/03,2001,1793.23,146.45,0,0
502677,59635,10/01/01,Y,02/08/02,2000,244.2,14.25,0,0
503975,59638,08/06/01,Y,05/31/02,2000,356.66,41.61,0,0
503983,59639,08/30/01,Y,05/31/02,2000,391.73,45.7,0,0
517275,59646,08/07/01,Y,11/21/01,2000,693.92,32.38,0,0
535028,59668,08/14/01,Y,03/04/04,2000,302.89,113.08,0,0
535028,59668,08/26/02,Y,03/04/04,2001,415.05,96.85,0,0
535028,59668,08/28/03,Y,03/04/04,2002,413.17,38.56,0,0
555711,59685,08/20/01,Y,08/23/02,2000,730.03,110.72,0,0
555711,59685,08/15/02,Y,08/23/02,2001,225.27,2.63,0,0
580945,59698,08/30/01,Y,03/18/05,2000,19.2,9.86,0,0
580945,59698,11/07/02,Y,03/18/05,2001,30.98,10.48,0,0
580945,59698,11/19/03,Y,03/18/05,2002,33.21,2.32,0,0
580945,59698,08/23/04,Y,03/18/05,2003,20.71,1.45,0,350
583731,59702,08/17/01,Y,12/27/01,2000,477.09,27.83,0,0
583740,59703,08/29/01,Y,08/30/02,2000,477.09,72.36,0,0
583740,59703,08/07/02,Y,08/30/02,2001,1214.67,14.17,0,0
606146,59712,08/21/01,Y,11/13/01,2000,874.65,40.82,0,0
620475,59726,08/27/01,Y,03/25/02,2000,434.07,40.51,0,0
624829,59728,08/30/01,Y,02/13/03,2000,8741.01,1937.59,0,0
626368,59731,08/27/01,Y,10/20/03,2000,44.82,14.12,0,0
626368,59731,08/28/02,Y,10/20/03,2001,41.66,7.29,0,0
626368,59731,08/26/03,Y,10/20/03,2002,41.33,1.45,0,350
637670,59740,08/07/01,Y,10/29/01,2000,288.76,10.11,0,0
653489,59750,08/24/01,Y,02/21/03,2000,1430.9,317.18,0,0
653489,59750,10/02/02,Y,02/21/03,2001,1331.82,77.69,0,350
653560,59751,08/20/01,Y,12/20/02,2000,353.69,70.15,0,0
653560,59751,08/15/02,Y,12/20/02,2001,236.1,13.77,0,0
653845,59752,08/31/01,Y,04/26/02,2000,353.69,37.14,0,0
658731,59755,09/28/01,Y,02/14/02,2000,1490.35,104.32,0,0
679801,59766,08/17/01,Y,12/27/01,2000,73.69,4.3,0,0
679810,59767,08/21/01,Y,12/27/01,2000,188.72,11.01,0,0
690422,59772,08/14/01,Y,07/30/02,2000,4042.98,566.02,0,0
693073,59774,08/29/01,Y,09/20/01,2000,309.56,7.22,0,0
693081,59775,08/28/01,Y,09/20/01,2000,309.56,7.22,0,0
694045,59776,08/07/01,Y,03/14/03,2000,630.23,147.05,0,0
694045,59776,08/07/02,Y,03/14/03,2001,950.61,88.72,0,350
702692,59783,08/06/01,Y,04/29/03,2000,340.35,83.39,0,0
702692,59783,08/08/02,Y,04/29/03,2001,422.72,44.39,0,350
703630,59786,10/09/01,Y,02/21/03,2000,209.92,41.63,0,0
703630,59786,09/30/02,Y,02/21/03,2001,426.73,29.87,0,350
704105,59790,08/21/01,Y,02/21/03,2000,340.35,75.44,0,0
704105,59790,08/30/02,Y,02/21/03,2001,422.72,34.52,0,0
733920,59806,09/19/01,Y,04/30/02,2000,551.49,51.47,0,0
739103,59811,08/01/01,Y,12/30/03,2000,405.54,61.51,0,0
739103,59811,08/09/02,Y,12/30/03,2001,484.53,73.49,0,350
752703,59817,08/24/01,Y,10/24/01,2000,1695.49,59.34,0,0
753254,59818,08/14/01,Y,09/25/01,2000,341.12,7.96,0,0
1001604,59843,10/29/01,Y,09/13/04,2000,26.32,11.05,0,0
1001604,59843,09/11/02,Y,09/13/04,2001,18.76,5.47,0,0
1001604,59843,08/18/03,Y,09/13/04,2002,18.61,3.04,0,0
1001604,59843,08/02/04,Y,09/13/04,2003,18.73,0.44,0,350
1001612,59844,10/29/01,Y,09/13/04,2000,26.32,11.05,0,0
1001612,59844,09/11/02,Y,09/13/04,2001,18.76,5.47,0,0
1001612,59844,08/18/03,Y,09/13/04,2002,18.61,3.04,0,0
1001612,59844,08/02/04,Y,09/13/04,2003,18.73,0.44,0,350
1001680,59845,10/29/01,Y,09/13/04,2000,26.32,11.05,0,0
1001680,59845,09/11/02,Y,09/13/04,2001,18.76,5.47,0,0
1001680,59845,08/18/03,Y,09/13/04,2002,18.61,3.04,0,0
1001680,59845,08/02/04,Y,09/13/04,2003,18.73,0.44,0,350
1018329,59849,08/03/01,Y,10/04/02,2000,1114.48,195.03,0,0
1018329,59849,08/02/02,Y,10/04/02,2001,1161.51,40.65,0,350
1121243,59911,08/29/01,Y,09/09/02,2000,40.31,6.58,0,0
1121243,59911,08/28/02,Y,09/09/02,2001,33.96,0.79,0,0
1135732,59916,10/29/01,Y,03/09/05,2000,26.8,0,0,0
1135732,59916,09/11/02,Y,03/09/05,2001,20.12,0,0,0
1135732,59916,08/18/03,Y,03/09/05,2002,19.89,0,0,0
1135732,59916,08/02/04,Y,03/09/05,2003,19.56,0,0,350
1159259,59935,08/27/01,Y,05/31/02,2000,452.15,52.75,0,0
1159887,59938,08/20/01,Y,07/07/03,2000,4864.22,1361.98,0,0
1159887,59938,08/28/02,Y,07/07/03,2001,8461.77,1184.65,0,0
1221248,59967,08/29/01,Y,07/07/03,2000,162.33,45.45,0,0
1221248,59967,08/07/02,Y,07/07/03,2001,166.58,23.32,0,0
1247077,59981,08/29/01,Y,07/07/03,2000,162.33,45.45,0,0
1247077,59981,08/28/02,Y,07/07/03,2001,168.37,23.57,0,0
1247247,59983,10/16/01,Y,09/26/07,2000,26.59,22.34,0,0
1247247,59983,08/21/02,Y,09/26/07,2001,17.6,12.73,0,0
1273124,59992,11/14/01,Y,12/17/02,2000,10759.03,627.61,50,0
1273124,59992,08/29/02,Y,12/17/02,2001,7561.19,441.07,0,350
1274686,59997,08/07/01,Y,02/18/03,2000,1474.6,326.87,0,0
1274686,59997,08/06/02,Y,02/18/03,2001,2240.34,182.96,0,0
1280368,60000,08/06/01,Y,10/31/03,2000,1709.96,538.64,0,0
1280368,60000,09/18/02,Y,10/31/03,2001,1823.57,297.85,0,0
1280368,60000,09/10/03,Y,10/31/03,2002,1801.84,42.04,0,0
1293729,60005,10/29/01,Y,04/08/03,2000,26.6,5.9,0,0
1293729,60005,09/11/02,Y,04/08/03,2001,19.08,1.78,0,0
1296124,60006,09/25/01,Y,12/09/03,2000,226.22,73.9,0,0
1296124,60006,10/01/02,Y,12/09/03,2001,310.93,54.41,0,0
1296124,60006,10/31/03,Y,12/09/03,2002,320.76,11.23,0,0
1303988,60014,08/07/01,Y,03/30/04,2000,334.47,124.87,0,0
1303988,60014,08/29/02,Y,03/30/04,2001,456.03,106.41,0,0
1323458,60032,08/28/01,Y,02/25/04,2000,895.62,323.92,0,0
1323458,60032,08/05/02,Y,02/25/04,2001,1041.22,230.8,0,350
1323458,60032,08/29/03,Y,02/25/04,2002,1031.14,84.21,0,0
1337297,60043,10/09/01,Y,11/09/01,2000,2843.65,66.35,0,0
1354477,60052,10/29/01,Y,02/11/05,2000,26.32,0,0,0
1354477,60052,09/11/02,Y,02/11/05,2001,18.76,0,0,0
1354477,60052,08/18/03,Y,02/11/05,2002,18.61,0,0,0
1354477,60052,08/02/04,Y,02/11/05,2003,18.73,0,0,0
1389645,60071,08/20/01,Y,08/30/02,2000,1366.1,207.19,0,0
1389645,60071,08/28/02,Y,08/30/02,2001,1384.88,16.16,0,0
1420330,60094,08/23/01,Y,07/08/02,2000,1733.23,242.65,0,0
1422766,60099,08/07/01,Y,08/28/14,2000,19.48,35.68,0,0
1422766,60099,08/29/02,Y,08/28/14,2001,15.62,26.42,0,0
1422766,60099,08/28/03,Y,08/28/14,2002,15.57,24.16,0,0
1422766,60099,08/31/04,Y,08/28/14,2003,20.44,28.85,0,0
1422766,60099,08/31/05,Y,08/28/14,2004,20.55,26.13,0,0
1422766,60099,08/28/06,Y,08/28/14,2005,20.29,22.96,0,0
1422766,60099,09/19/07,Y,08/28/14,2006,16.07,15.75,0,0
1431404,60107,10/19/01,Y,10/30/01,2000,1260.07,14.7,0,0
1441302,60115,08/06/01,Y,08/20/01,2000,3103.63,36.21,0,0
1443232,60117,08/24/01,Y,10/18/01,2000,29.25,1.02,0,0
1446380,60118,08/07/01,Y,08/15/01,2000,15.87,0.19,0,0
1473590,60131,10/30/01,Y,03/09/04,2000,419.42,146.8,0,0
1473590,60131,08/22/02,Y,03/09/04,2001,388.9,90.74,0,0
1473590,60131,08/26/03,Y,03/09/04,2002,22.41,36.51,0,350
1498487,60143,08/29/01,Y,09/19/05,2000,16.11,9.4,0,0
1504088,60148,08/14/01,Y,02/26/02,2000,1311.93,107.14,0,0
1554549,60250,10/31/01,Y,03/24/05,2000,53.45,26.19,0,0
1554549,60250,08/30/02,Y,03/24/05,2001,42.01,15.68,0,0
1554549,60250,10/08/03,Y,03/24/05,2002,52.69,11.06,0,0
1554549,60250,08/30/04,Y,03/24/05,2003,42.32,3.95,0,350
1556487,60271,08/03/01,Y,09/28/01,2000,1548.38,36.13,0,0
1556509,60273,08/30/01,Y,09/28/01,2000,1548.38,36.13,0,0
1556517,60274,08/30/01,Y,09/28/01,2000,18.42,0.43,0,0
1556568,60277,08/01/01,Y,09/28/01,2000,1548.38,36.13,0,0
1556576,60278,08/27/01,Y,09/28/01,2000,1548.38,36.13,0,0
1556614,60282,08/29/01,Y,09/28/01,2000,3394.33,79.2,0,0
1556622,60283,08/01/01,Y,09/28/01,2000,3394.33,79.2,0,0
1556703,60289,08/31/01,Y,09/28/01,2000,1548.38,36.13,0,0
1556843,60295,08/20/01,Y,09/28/01,2000,1293,30.17,0,0
1556851,60296,08/22/01,Y,09/28/01,2000,1293,30.17,0,0
1556932,60304,08/30/01,Y,09/28/01,2000,18.42,0.43,0,0
1556959,60305,08/30/01,Y,09/28/01,2000,18.42,0.43,0,0
1556975,60307,08/15/01,Y,09/28/01,2000,3394.33,79.2,0,0
1556991,60309,08/06/01,Y,09/28/01,2000,3394.33,79.2,0,0
1557017,60310,08/06/01,Y,09/28/01,2000,3394.33,79.2,0,0
1557025,60311,08/22/01,Y,09/28/01,2000,3394.33,79.2,0,0
1557033,60312,08/24/01,Y,09/28/01,2000,3394.33,79.2,0,0
1557084,60317,08/29/01,Y,09/28/01,2000,1548.38,36.13,0,0
1557122,60319,08/06/01,Y,02/04/03,2000,1548.38,343.22,0,0
1557122,60319,08/07/02,Y,02/04/03,2001,1303.18,106.43,0,350
1557190,60323,08/07/01,Y,09/28/01,2000,1548.38,36.13,0,0
1557203,60324,09/25/01,Y,09/28/01,2000,1563.22,18.24,0,0
9025626,60382,09/28/01,Y,11/13/01,2000,86.01,3.23,0,0
9044337,60389,08/15/01,Y,10/31/01,2000,358.5,13.44,0,0
907383,60398,08/15/01,Y,01/25/02,2000,130.14,9.76,0,0
9015574,60402,08/06/01,Y,11/13/02,2000,148.07,29.61,0,0
9015574,60402,08/28/02,Y,11/13/02,2001,148.93,7.45,0,0
9034684,60406,08/03/01,Y,05/23/02,2000,358.34,44.79,0,0
9026568,60413,08/15/01,Y,10/22/01,2000,347.83,13.04,0,0
987751,60416,08/15/01,Y,12/20/01,2000,53.78,3.36,0,0
9040013,60417,08/30/01,Y,11/08/01,2000,452.87,22.64,0,0
9032304,60423,08/21/01,Y,09/17/01,2000,305.88,7.65,0,0
1530453,60433,11/09/00,N,04/30/01,1999,,,275,0
310662,60434,08/29/01,Y,10/29/03,2000,932.21,314.62,0,0
310662,60434,08/30/02,Y,10/29/03,2001,677.35,127,0,0
310662,60434,08/29/03,Y,10/29/03,2002,676.23,25.36,0,350
76163,60438,08/07/01,Y,04/16/02,2000,16.11,1.81,0,0
1328441,60439,08/29/01,Y,04/16/02,2000,2113.72,237.79,0,0
672793,60441,11/09/00,N,10/29/01,1999,,,550,0
422380,60443,10/30/01,Y,04/30/04,2000,1689.61,654.72,0,0
422380,60443,08/22/02,Y,04/30/04,2001,3913.15,1027.2,0,0
422380,60443,08/26/03,Y,04/30/04,2002,3890.24,437.65,0,0
422622,60444,08/06/01,Y,04/30/04,2000,2528.36,1042.95,0,0
422622,60444,08/05/02,Y,04/30/04,2001,3049.54,800.5,0,0
422622,60444,08/01/03,Y,04/30/04,2002,3031.67,341.06,0,0
1500198,60445,08/06/01,Y,03/07/02,2000,1341.12,134.11,0,0
1282271,60446,08/01/01,Y,08/05/02,2000,18.28,2.97,0,0
487155,60448,08/15/01,Y,10/01/01,2000,14.7,0.55,0,0
461377,60449,08/24/01,Y,10/02/01,2000,1011.32,37.92,0,0
1151649,60451,08/31/01,Y,10/28/03,2000,20.08,6.78,0,0
1151649,60451,08/01/02,Y,10/28/03,2001,20.42,3.83,0,0
1151649,60451,08/26/03,Y,10/28/03,2002,20.37,0.76,0,0
1151657,60452,10/29/01,Y,10/28/03,2000,31.48,9.84,0,0
1151657,60452,09/16/02,Y,10/28/03,2001,25.65,4.49,0,0
23906,60455,09/19/01,Y,05/03/04,2000,530.96,219.02,0,0
23906,60455,08/13/02,Y,05/03/04,2001,916.46,252.03,0,0
23906,60455,08/26/03,Y,05/03/04,2002,916.04,114.51,0,350
1236385,60457,11/09/00,N,03/30/01,1999,,,600,0
1307711,60459,08/03/01,Y,05/30/02,2000,2282.63,285.33,0,0
43192,60460,08/23/01,Y,05/30/02,2000,2665.63,333.2,0,0
43214,60461,08/21/01,Y,05/30/02,2000,1793.7,224.21,0,0
43222,60462,08/23/01,Y,05/30/02,2000,1038.91,129.86,0,0
43249,60463,08/22/01,Y,05/30/02,2000,2961.02,370.13,0,0
189898,60464,11/09/00,N,07/16/03,1999,,,300,0
189898,60464,08/10/01,Y,07/16/03,2000,8034.81,2410.44,0,0
189898,60464,08/26/02,Y,07/16/03,2001,7859.03,1178.85,0,0
1517309,60466,08/20/01,Y,10/31/01,2000,1563.77,58.64,0,0
1517899,60469,08/31/01,Y,10/31/01,2000,1563.77,58.64,0,0
596469,60470,08/31/01,Y,09/30/02,2000,5154.98,902.12,0,0
596469,60470,08/02/02,Y,09/30/02,2001,5611.89,140.3,0,0
1533118,60475,11/09/00,N,,1999,30,,0,0
1394371,60476,08/27/01,Y,12/13/01,2000,2143.34,133.96,0,0
739332,60480,08/31/01,Y,11/13/02,2000,530.04,106.01,0,0
739332,60480,08/16/02,Y,11/13/02,2001,1008.68,50.43,0,0
273988,60482,10/01/01,Y,04/17/02,2000,2137.39,187.02,0,0
216283,60483,08/07/01,Y,12/04/02,2000,1470.76,312.54,0,0
216283,60483,08/02/02,Y,12/04/02,2001,1423.07,88.94,0,0
266400,60490,08/29/01,Y,03/22/02,2000,457.84,45.78,0,0
165000,60492,08/29/01,Y,03/26/02,2000,1439.19,143.92,0,0
384399,60494,08/29/01,Y,09/04/02,2000,560.64,98.11,0,0
